Total_Males,Total_Females,Median_Age,Total_Pop,Total_White_People,Total_Afr_Am_People,Total_American_Ind_Alk_Ntv,Total_Asian,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Less_Highschool,Total_Bachelor_Holders,Median_Income,Total_Children,Total_Married_Households,Total_STEM,Total_Business_Degree,Below_Poverty_Level_LTM,Total_Wealthy_Households,Median_Household_Income,Gini_Index,Total_Veterans,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Information,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Median_Gross_Rent,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Total_Mexican_Origin,Total_Puerto_Rican_Origin,Total_Cuban_Origin,Total_Dominican_Origin,District_Name,CD,State_Id,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
342955,378366,34.3,721321,254369,352801,1246,55638,612298,63248,98687,69656,107445,27180,144202,81688,16265,48661,162249,28670,51346,0.5759,20089,36.2,335417,753,8810,27280,27808,22834,6681,33971,33288,52065,23877,11425,1055,368823,331278,37545,73053,13358,2115,633,"Congressional District 7 (114th Congress), Illinois",07,17,IL,IL-07-2016,87.2,11.8,87.4,9.2
356592,353875,37.4,710467,465938,32592,2295,98653,490441,107795,210271,74288,112613,31037,165721,135920,14680,40830,58783,11623,67079,0.4050,23487,40.5,380785,1129,20760,58894,45725,28231,6745,23553,25309,40422,31642,8207,1124,401858,380215,21643,163459,9226,2138,0,"Congressional District 8 (114th Congress), Illinois",08,17,IL,IL-08-2016,57.4,40.9,58.1,36.4
355623,366645,40.2,722268,522236,61842,1154,96592,511121,82621,199557,48707,154530,33686,145306,134042,22987,56294,91759,32517,66202,0.5267,22027,41.1,360866,771,14415,28893,35303,17626,10012,33210,42920,48563,25096,9601,1035,377492,357276,20216,54819,7581,2987,899,"Congressional District 9 (114th Congress), Illinois",09,17,IL,IL-09-2016,65.0,33.3,70.1,24.9
356761,357490,37.9,714251,547767,50442,1063,74860,535836,86845,170827,49855,121322,32831,179452,142953,18561,51973,71051,32431,77031,0.5012,30500,41.4,349179,622,16399,53371,41458,13757,5280,27315,26163,40707,20069,10363,1111,368193,347794,20399,136003,8832,547,1120,"Congressional District 10 (114th Congress), Illinois",10,17,IL,IL-10-2016,57.5,41.1,62.0,32.6
356274,373337,35.3,729611,479801,80958,1272,54540,576257,76656,146493,64663,99100,30561,194057,132129,17677,35900,83107,17388,67065,0.4368,28210,39.8,369956,1959,21168,45045,45890,24983,10497,25861,31277,45870,29762,9902,1138,389380,368912,20468,175533,9347,2524,809,"Congressional District 11 (114th Congress), Illinois",11,17,IL,IL-11-2016,57.8,40.6,58.9,35.4
343128,356241,39.1,699369,549043,120327,1764,8126,674028,10431,18908,48550,66151,26008,155504,123670,12818,20414,111504,8134,46803,0.4637,55712,40.4,306069,5869,18022,34497,35021,18428,4148,17466,31375,48444,25065,17750,722,331014,304504,26510,17267,1556,380,22,"Congressional District 12 (114th Congress), Illinois",12,17,IL,IL-12-2016,49.7,48.1,40.2,55.0
345872,360724,36.5,706596,569123,80031,952,28286,663706,22914,35934,36746,82594,26114,141949,121750,15611,24876,123413,9866,50211,0.4779,46820,37.7,327853,7253,16302,32469,33813,16381,5493,21122,47240,47659,30396,16539,774,342118,321113,21005,13260,1695,711,150,"Congressional District 13 (114th Congress), Illinois",13,17,IL,IL-13-2016,48.6,48.9,44.2,49.7
361456,366980,39.1,728436,637842,24656,341,34355,658249,26339,65564,28363,119936,37284,186286,160541,21090,46951,45467,23542,86050,0.4065,31190,43.1,380665,3294,26207,58315,45298,18207,7189,28008,32883,45179,20067,11251,1129,396052,379609,16443,63353,7444,1541,443,"Congressional District 14 (114th Congress), Illinois",14,17,IL,IL-14-2016,44.2,54.2,44.8,48.7
351205,352448,39.9,703653,654976,31788,769,4294,687000,6350,11716,53014,63403,27025,158660,142744,12072,16814,91746,5622,49136,0.4315,47402,40.3,317256,15566,19890,50003,36977,17789,4548,16117,28990,50166,19521,12066,628,335302,315828,19474,14232,3372,92,72,"Congressional District 15 (114th Congress), Illinois",15,17,IL,IL-15-2016,34.1,63.9,24.5,70.7
349470,351805,40.2,701275,627129,28294,2275,9544,660929,20792,37686,48908,66802,27432,159473,141673,13909,18507,84353,7834,56180,0.4222,46636,41.3,331962,10274,19831,54639,42485,21559,3979,15316,30640,46786,20490,11891,777,355054,330254,24800,57588,3255,978,0,"Congressional District 16 (114th Congress), Illinois",16,17,IL,IL-16-2016,45.2,52.9,38.3,55.5
341122,350253,40.1,691375,567487,81708,1108,8909,652445,22328,34894,59210,57462,25300,153122,120810,9506,17557,106780,4729,45731,0.4415,46299,40.8,313461,5772,17758,54525,40073,19623,4392,13167,25331,47524,23543,12279,648,335557,309000,26557,54389,2813,947,29,"Congressional District 17 (114th Congress), Illinois",17,17,IL,IL-17-2016,57.6,40.6,46.7,47.4
353847,359317,39.9,713164,649373,24861,1270,18015,684286,14376,25331,32684,99363,31791,161090,152650,17613,31062,66543,14800,61544,0.4430,48578,41.1,345735,10938,17493,40934,38837,15443,5648,33872,32364,50840,18910,18824,724,359877,342747,17130,12946,2640,596,0,"Congressional District 18 (114th Congress), Illinois",18,17,IL,IL-18-2016,37.4,60.7,33.3,60.6
350730,365765,38.7,716495,498774,134039,1167,10157,664907,17496,43588,54187,71606,27103,169029,122534,16776,23984,110145,9530,52256,0.4438,39252,41.0,316239,1421,20489,54041,39586,20140,3352,14232,26826,47531,21427,10415,841,341905,314515,27390,80962,18607,920,663,"Congressional District 1 (114th Congress), Indiana",01,18,IN,IN-01-2016,61.2,37.4,54.1,41.5
359281,366134,37.5,725415,627718,48564,1989,11147,680109,24800,38580,71485,61859,25350,180868,133940,11106,21787,104228,6915,48654,0.4391,39100,40.4,328483,5458,16528,90052,35570,12736,5545,13292,32657,40059,19150,10030,705,341605,323681,17924,54395,3082,1723,593,"Congressional District 2 (114th Congress), Indiana",02,18,IN,IN-02-2016,42.1,56.1,36.1,59.3
360680,375184,36.8,735864,646878,42659,2261,14313,700730,17229,31240,59685,70794,26720,190018,146312,13245,25476,87850,8480,50690,0.4431,39643,40.0,351477,7114,20224,90993,39108,13810,5792,21262,25295,44900,22733,6829,697,365938,349076,16862,33929,3326,608,432,"Congressional District 3 (114th Congress), Indiana",03,18,IN,IN-03-2016,35.7,62.5,30.1,65.1
373810,373791,36.3,747601,667522,27370,1934,21284,698683,31363,44137,45850,79426,27107,172960,142628,17233,26947,87583,8416,54897,0.4233,46248,38.9,365281,7413,21052,72927,39953,20580,5513,16088,42009,45759,26102,11159,753,376072,357983,18089,33331,959,601,329,"Congressional District 4 (114th Congress), Indiana",04,18,IN,IN-04-2016,36.9,60.9,30.2,64.3
369842,390370,37.9,760212,643033,64798,610,25061,716297,21016,39521,37026,141164,33026,186290,156070,26895,55397,68490,25205,65165,0.4765,38730,40.7,391529,3564,19714,47111,42589,14587,9838,31991,38862,54659,26506,13880,867,405791,388555,17236,20924,2943,786,179,"Congressional District 5 (114th Congress), Indiana",05,18,IN,IN-05-2016,40.7,57.5,41.3,53.1
354333,367047,40.4,721380,672439,19186,2045,10117,702637,10918,16014,54531,60201,25626,161094,142240,14380,17418,98300,6058,50588,0.4308,47091,41.1,336128,6290,20656,76104,38420,14897,3204,14188,27854,46216,23641,11632,715,351054,332601,18453,13094,1329,0,93,"Congressional District 6 (114th Congress), Indiana",06,18,IN,IN-06-2016,37.3,60.4,27.4,67.7
362258,387518,33.4,749776,461749,218178,2599,22464,675717,50137,67328,85245,72579,22988,194327,87174,11520,20701,174070,4195,37939,0.4611,39174,37.4,343787,969,20462,37611,47402,27374,5835,19783,26463,40792,33385,13165,784,375319,341748,33571,54245,3992,501,1312,"Congressional District 7 (114th Congress), Indiana",07,18,IN,IN-07-2016,62.9,35.3,59.0,36.2
358780,362175,39.6,720955,663238,29119,1201,6903,703924,9532,14827,58227,60558,24687,160229,141602,14055,18309,105880,7036,47134,0.4495,49740,40.5,334109,9820,23450,64712,35593,15922,5269,15516,24655,46558,26044,12964,670,347102,329931,17171,11365,991,519,0,"Congressional District 8 (114th Congress), Indiana",08,18,IN,IN-08-2016,39.6,58.4,30.9,64.6
363375,378607,37.3,741982,678343,21747,1898,17218,711400,15708,26073,47900,79036,26443,164919,141058,16111,24843,96635,7737,52041,0.4339,50919,39.1,352933,4099,22154,60272,41777,17805,6832,20044,34178,48410,28051,12842,777,367188,347956,19232,16635,1880,1522,116,"Congressional District 9 (114th Congress), Indiana",09,18,IN,IN-09-2016,40.7,57.2,34.2,61.1
