,B01001_002E,B01001_026E,B01002_001E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B03002_012E,B05001_002E,B05001_006E,B05012_003E,B06009_002E,B06009_005E,B06011_001E,B09001_001E,B11001_003E,B15012_009E,B15012_010E,B17001_002E,B19001_017E,B19013_001E,B19083_001E,B21001_002E,B23013_001E,B24050_001E,B24050_002E,B24050_005E,B24050_006E,B24050_008E,B24050_009E,B24050_012E,B24050_013E,B24050_021E,B24050_022E,B24050_025E,B24050_027E,B25031_001E,B28007_002E,B28007_003E,B28007_009E,C03001_004E,C03001_005E,C03001_006E,C03001_007E,District_Name,CD,State_Id,State,CD_Id,Incumbent_Rep_Party,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,State_AB
178,359182,383817,34.9,742999,487734,153479,5661,36287,164637,637339,49151,94591,60342,99324,31439,193112,135871,14451,38005,83408,13561,62290,0.4263,41008,40.0,371688,4434,21691,38410,47794,26807,8064,30929,34991,46893,21852,12906,1010,389214,370461,18753,142862,6742,641,137,"Congressional District 6 (114th Congress), Texas",06,48,TX,TX-06,R,41.9,54.2,40.8,57.9,42.0,57.0,TX
179,388459,389181,34.7,777640,540604,94722,899,80182,242199,528841,156709,236351,56654,147679,40081,205648,149435,20872,62948,93348,44982,71337,0.5350,25756,39.3,396313,23125,24567,33735,37835,18611,5616,31782,33900,39522,30060,7320,1127,415661,396289,19372,150733,5587,4714,1435,"Congressional District 7 (114th Congress), Texas",07,48,TX,TX-07,D,48.5,47.1,38.6,59.9,40.0,59.0,TX
180,408184,394003,36.7,802187,651072,63616,5196,23507,173045,698041,59134,94899,76044,101192,31092,201498,152857,13767,35347,87053,24718,64196,0.4844,49921,40.6,349821,22582,27413,32816,40281,21812,6432,20399,31377,32125,19405,16093,1005,368375,349344,19031,138578,3198,1018,1034,"Congressional District 8 (114th Congress), Texas",08,48,TX,TX-08,R,23.9,72.7,21.7,77.0,26.0,73.0,TX
181,381937,400617,32.4,782554,284312,297672,1961,93683,299554,499241,173609,275152,108776,80397,23794,206270,107978,17478,28123,155661,6174,43572,0.4499,24899,37.6,387105,7913,37737,20937,52225,25614,4341,23845,32319,55951,33525,9853,898,414657,386836,27821,176637,2607,8793,389,"Congressional District 9 (114th Congress), Texas",09,48,TX,TX-09,D,79.3,18.0,78.0,21.1,76.0,23.0,TX
182,391020,401750,35.8,792770,584533,88867,2684,45286,228951,644288,85997,138099,68636,133390,34283,204973,153158,14850,45436,78614,28521,70494,0.4822,38094,40.9,399263,15348,32282,39122,40908,20926,7885,27736,38209,39732,26035,17503,1082,413525,395951,17574,176499,3709,5181,1237,"Congressional District 10 (114th Congress), Texas",10,48,TX,TX-10,R,43.2,52.3,38.8,59.1,43.0,56.0,TX
183,384620,376533,35.3,761153,674009,28421,2492,8208,291656,680708,43769,72141,88009,71946,26985,191230,138502,12178,22357,94962,14516,56334,0.4801,46266,38.9,343800,46226,27974,22724,39431,20094,4375,15741,29561,41227,23895,11635,913,357776,342786,14990,268072,2426,1350,176,"Congressional District 11 (114th Congress), Texas",11,48,TX,TX-11,R,19.1,77.8,19.6,79.2,23.0,76.0,TX
184,380909,407472,35.8,788381,634544,66255,5002,31483,172563,697181,43632,78664,60362,105331,31014,199077,143700,14908,39991,88886,18256,62274,0.4640,51454,39.3,378604,10793,22679,42640,49677,29421,5853,20608,32417,47704,25020,16481,975,402385,377109,25276,143935,9454,1477,282,"Congressional District 12 (114th Congress), Texas",12,48,TX,TX-12,R,32.7,62.9,31.7,66.8,35.0,64.0,TX
185,360363,347002,36.2,707365,608286,37404,5537,15239,187164,636554,44245,65085,79499,65766,25372,176433,129765,10053,18862,105172,7593,49281,0.4515,42556,39.0,314910,24606,24154,27538,38417,16221,4573,13511,29387,41082,27722,14569,753,328314,313365,14949,173336,3072,520,0,"Congressional District 13 (114th Congress), Texas",13,48,TX,TX-13,R,16.9,79.9,18.5,80.2,22.0,77.0,TX
186,375676,364201,37.1,739877,529292,146451,2514,19595,179820,653224,46143,77437,74338,80320,30216,180598,130482,15344,24504,103715,16403,57520,0.4765,45598,40.2,325917,5950,35447,40636,32713,14287,3569,16413,30270,44221,25557,15016,865,349240,325045,24195,154073,6166,1198,82,"Congressional District 14 (114th Congress), Texas",14,48,TX,TX-14,R,38.4,58.2,39.5,59.3,42.0,57.0,TX
187,379439,386903,30.7,766342,635560,16199,1945,8139,617572,580383,126434,174596,140517,56614,20177,238430,117367,10025,19715,206261,6067,41993,0.4763,27897,38.6,300991,14011,19937,20898,42426,16111,2549,11960,34721,47042,22325,14060,741,324813,300116,24697,590711,3713,762,396,"Congressional District 15 (114th Congress), Texas",15,48,TX,TX-15,D,56.7,40.0,57.4,41.5,57.0,42.0,TX
