Total_Pop,Total_Males,Total_Females,Median_Age,Total_Veterans,Total_White_People,Total_Afr_Am_People,Total_Asian,Total_American_Ind_Alk_Ntv,Total_Cuban_Origin,Total_Puerto_Rican_Origin,Total_Dominican_Origin,Total_Mexican_Origin,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Children,Total_Married_Households,Total_Less_Highschool,Total_Bachelor_Holders,Total_STEM,Total_Business_Degree,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Total_Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Total_Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
739819,373266,366553,31.6,19666,334892,45776,52484,5362,1091,3752,511,460430,507757,135033,225168,200767,100540,137540,49732,6841,18196,352964,321839,31125,56215,22778,124129,4468,0.4041,37.7,323402,2201,25593,41647,42251,32654,14243,23422,34220,25260,12202,3561,1228,"Congressional District 35 (114th Congress), California",06,35,CA,CA-35-2016,67.4,30.6,67.7,26.9
750645,376994,373651,39.6,45179,521032,36124,23831,9177,1055,2936,175,343603,575901,99344,166051,180275,122220,106266,63061,10257,22717,312297,279364,32933,46471,22443,153152,11215,0.5040,39.7,280700,11156,20619,11111,38615,11950,16441,20838,35819,31808,11138,4509,1005,"Congressional District 36 (114th Congress), California",06,36,CA,CA-36-2016,50.7,47.5,52.2,43.4
722781,351410,371371,35.2,17021,299635,171348,70936,5216,1390,2017,450,164562,483149,132970,232236,141073,90269,98237,113127,11810,31977,388001,358757,29244,51114,27060,138528,19262,0.5259,37.8,362044,1812,18699,21684,34576,18001,21331,39151,39017,30122,9838,23435,1311,"Congressional District 37 (114th Congress), California",06,37,CA,CA-37-2016,84.9,12.7,85.7,9.6
725433,360953,364480,36.9,24643,328116,28174,111809,5614,2267,4066,308,394801,493322,90566,224888,165949,113952,98184,74434,11624,23605,350733,328599,22134,62697,26524,78750,9582,0.4173,40.4,329917,1500,20224,41531,42257,25059,17117,26591,45627,21242,12992,4715,1315,"Congressional District 38 (114th Congress), California",06,38,CA,CA-38-2016,64.9,33.0,67.0,27.4
731324,359870,371454,39.2,26372,392002,12735,226345,2925,1028,2832,0,217169,477922,96327,244518,160579,138522,59042,138830,19737,51934,372522,348136,24386,81183,32446,68886,24193,0.4264,42.4,349497,1596,18023,44288,36878,13856,29736,34527,44105,24810,12460,8213,1564,"Congressional District 39 (114th Congress), California",06,39,CA,CA-39-2016,47.1,50.8,51.5,42.9
721037,356901,364136,30.8,7198,435825,34772,18011,3574,2919,3038,229,525575,418489,196319,297224,206454,87493,203182,30824,3307,9715,340286,311107,29179,42497,19837,171497,3345,0.4322,38.6,311326,2516,22287,54407,38492,24010,11679,17470,32034,27997,7587,3866,1072,"Congressional District 40 (114th Congress), California",06,40,CA,CA-40-2016,81.5,16.5,82.2,12.8
745630,373117,372513,30.9,28439,394462,69366,38244,4784,1440,5211,44,389423,554614,98636,182256,197951,106165,113903,49046,8735,16436,356111,321882,34229,58592,24322,126662,7300,0.4144,36.8,325320,3483,35146,29962,44844,25421,13156,26111,43821,23080,13679,4070,1189,"Congressional District 41 (114th Congress), California",06,41,CA,CA-41-2016,61.5,36.3,61.0,33.1
772860,379611,393249,35.8,42848,505655,40577,78811,3948,2871,4747,605,249375,602237,73596,160110,208565,135890,70036,77206,12842,27970,365252,332141,33111,72536,30136,91265,14391,0.4104,41.4,332676,2842,30202,39408,44991,16008,19537,27171,38006,20623,18332,4084,1468,"Congressional District 42 (114th Congress), California",06,42,CA,CA-42-2016,41.4,56.5,41.4,53.4
744444,360772,383672,34.7,20148,239159,168304,94330,3289,3312,4012,545,266499,504301,123866,230671,183569,98600,108265,81647,8960,25711,367893,339769,28124,50885,24055,152651,10825,0.4759,39.3,342157,1484,17604,32991,38000,30862,18716,26232,41060,31552,10526,11051,1215,"Congressional District 43 (114th Congress), California",06,43,CA,CA-43-2016,78.0,20.0,78.4,16.7
712204,349104,363100,32.3,14644,329929,107704,47455,11521,1482,2965,1178,420874,460675,134248,243811,192747,83031,157097,42765,8641,12332,338913,306288,32625,49037,20983,149186,4968,0.4292,38.0,307105,1842,20071,43102,32679,27499,12000,19513,40457,26028,8780,4869,1092,"Congressional District 44 (114th Congress), California",06,44,CA,CA-44-2016,84.7,13.6,83.0,12.3
771550,376563,394987,39.5,28722,476766,17483,189250,738,2372,2729,89,105385,527363,105522,233503,163053,152851,34453,176054,22254,74097,402576,381875,20701,93374,41571,79157,44256,0.4521,42.2,384641,1032,16355,49341,34442,12965,41073,35252,42838,26687,12759,9225,1897,"Congressional District 45 (114th Congress), California",06,45,CA,CA-45-2016,43.0,54.8,49.8,44.4
738410,372125,366285,31.7,14173,439954,14315,89598,3907,1005,3254,0,449819,425739,197572,305696,195761,94434,161785,57840,7862,16541,375888,353841,22047,57583,22411,131809,6149,0.4147,37.4,355275,2811,30737,51398,34683,12447,20389,21878,36275,40738,6891,6264,1389,"Congressional District 46 (114th Congress), California",06,46,CA,CA-46-2016,61.4,36.2,66.3,27.9
718339,356555,361784,37.1,26661,395061,50888,158377,10921,1559,3392,331,220345,485785,97325,222739,160425,109907,95504,97004,12656,29343,362673,342533,20140,59744,28087,121110,15675,0.4639,40.6,344068,1559,19341,40832,34196,20725,20522,30398,44287,28744,12862,5775,1235,"Congressional District 47 (114th Congress), California",06,47,CA,CA-47-2016,60.0,37.5,62.6,31.0
724082,356523,367559,42.0,32000,487071,9316,132088,4480,1888,3974,505,116963,532226,69651,182787,141547,136062,55089,148393,18689,51669,387679,368217,19462,83001,36834,76228,39985,0.4953,42.0,369001,3226,17529,44838,38800,11831,39249,31011,39296,27618,8973,7908,1762,"Congressional District 48 (114th Congress), California",06,48,CA,CA-48-2016,43.0,54.7,47.9,46.2
735828,374755,361073,37.8,47080,592527,18940,51249,3373,1704,5568,1870,163461,597903,53691,127421,165462,142054,44512,130819,16200,47197,365570,345834,19736,81611,34073,70558,36520,0.4748,40.1,346352,4285,19930,38576,38829,9878,21914,30235,36507,28690,12455,9245,1723,"Congressional District 49 (114th Congress), California",06,49,CA,CA-49-2016,45.7,52.2,50.7,43.2
753486,376673,376813,36.9,57954,588334,18985,47545,7597,1565,4200,902,209181,591702,78146,151481,181659,134027,67804,90908,12581,30593,369710,344655,25055,66103,29869,89867,14400,0.4198,39.7,345683,5593,30033,29860,38633,14572,18809,27385,41178,27662,15157,5682,1327,"Congressional District 50 (114th Congress), California",06,50,CA,CA-50-2016,37.6,60.4,39.6,54.6
724812,361772,363040,32.5,32242,463937,44446,65149,4824,713,3923,263,491003,451745,142344,256072,188882,91505,143358,44219,5436,12227,316388,279874,36514,41085,19465,171748,3132,0.4444,37.6,280238,6922,20866,18918,35124,14981,10070,19852,37446,33115,17015,3226,1015,"Congressional District 51 (114th Congress), California",06,51,CA,CA-51-2016,69.4,28.9,71.8,22.8
755498,379580,375918,36.3,53825,521966,22208,145039,2562,1405,2795,459,92240,553739,83717,186870,147773,137192,28064,168871,26596,55013,401180,380849,20331,84479,39949,72921,37330,0.4560,37.6,383055,1267,12501,40471,33180,10448,26176,40113,49503,33308,17451,13114,1750,"Congressional District 52 (114th Congress), California",06,52,CA,CA-52-2016,52.1,45.7,58.1,35.6
776583,389285,387298,35.0,60539,499756,72302,99812,3042,2891,4451,402,236647,582921,76069,174862,160060,121361,62327,125668,19277,37068,416362,385026,31336,66917,31246,96700,15941,0.4289,36.8,386610,1007,16006,27422,38307,17919,24060,40288,49660,33998,25545,8486,1373,"Congressional District 53 (114th Congress), California",06,53,CA,CA-53-2016,61.4,36.4,64.5,29.6
803636,401828,401808,34.7,38385,633036,66926,26818,7167,769,3618,165,181610,670596,83276,120660,164830,122005,73074,163525,23042,56845,457543,434845,22698,60576,35086,115077,24780,0.4953,36.4,438960,5893,36543,24118,42737,18840,35165,34231,51549,37501,16218,15617,1104,"Congressional District 1 (114th Congress), Colorado",08,01,CO,CO-01-2016,69.0,28.8,69.0,23.2
782278,396480,385798,37.3,45895,711835,6634,27090,2622,1906,2681,413,56184,714050,31510,57116,153902,156822,18710,169464,24485,48839,441788,423211,18577,72468,32315,81721,29407,0.4675,38.5,428451,8501,27427,36788,43029,10661,21983,55646,46401,32872,15527,13050,1252,"Congressional District 2 (114th Congress), Colorado",08,02,CO,CO-02-2016,57.9,39.5,56.2,34.9
