CD,Year,Target_Presidential_R,Target_Presidential_D,Previous_Presidential_D,Previous_Presidential_R
NC-07,2016,58.6,38.7,41.9,57.2
NC-08,2016,53.2,44.1,47.3,51.8
NC-09,2016,53.7,43.3,44.2,54.9
NC-10,2016,67.8,29.6,34.1,64.9
NC-11,2016,57.2,39.9,43.5,55.2
NC-12,2016,29.5,67.3,66.5,32.6
NC-13,2016,67.0,30.6,34.3,64.7
ND-AL,2016,64.1,27.7,38.9,58.7
NE-01,2016,57.5,36.2,40.8,57.5
NE-02,2016,48.2,46.0,45.7,52.8
NE-03,2016,74.9,20.0,27.8,70.2
NH-01,2016,48.2,46.6,50.2,48.6
NH-02,2016,46.2,48.6,54.2,44.5
NJ-01,2016,36.1,60.6,65.1,33.8
NJ-02,2016,50.6,46.0,53.5,45.4
NJ-03,2016,51.4,45.2,51.8,47.2
NJ-04,2016,55.8,41.0,44.7,54.2
NJ-05,2016,48.8,47.7,47.9,50.9
NJ-06,2016,40.6,56.2,61.4,37.4
NJ-07,2016,47.5,48.6,46.3,52.5
NJ-08,2016,21.5,75.7,78.3,20.8
NJ-09,2016,33.1,64.3,68.4,30.8
NJ-10,2016,12.8,85.2,87.9,11.5
NJ-11,2016,48.8,47.9,46.6,52.4
NJ-12,2016,31.8,65.0,66.5,32.4
NM-01,2016,35.1,51.6,55.3,39.6
NM-02,2016,50.1,39.9,44.9,51.7
NM-03,2016,36.7,51.8,57.5,38.7
NV-01,2016,32.6,61.6,65.6,32.4
NV-02,2016,52.0,39.7,44.8,52.9
NV-03,2016,47.5,46.5,49.5,48.7
NV-04,2016,44.6,49.5,54.4,43.7
NY-01,2016,54.5,42.2,49.6,49.1
NY-02,2016,53.0,43.9,51.6,47.2
NY-03,2016,45.5,51.6,50.8,48.2
NY-04,2016,43.8,53.4,56.3,42.8
NY-05,2016,12.7,85.7,90.6,9.1
NY-06,2016,32.1,65.1,67.8,31.0
NY-07,2016,10.4,86.9,88.4,10.3
NY-08,2016,13.5,84.6,89.3,10.1
NY-09,2016,14.4,83.5,85.3,13.8
NY-10,2016,18.8,78.3,73.6,25.0
NY-11,2016,53.6,43.8,51.6,47.3
NY-12,2016,13.5,83.3,76.9,21.5
NY-13,2016,5.4,92.3,94.6,4.6
NY-14,2016,19.8,77.7,80.7,18.3
NY-15,2016,4.9,93.8,96.7,3.0
NY-16,2016,22.5,75.1,73.7,25.5
NY-17,2016,38.4,58.6,57.1,41.8
NY-18,2016,49.0,47.1,51.4,47.1
NY-19,2016,50.8,44.0,52.1,45.9
NY-20,2016,40.5,54.0,59.2,38.8
NY-21,2016,53.9,40.0,52.2,46.1
NY-22,2016,54.8,39.3,48.8,49.2
NY-23,2016,54.5,39.7,48.4,49.6
NY-24,2016,45.3,48.9,57.0,41.1
NY-25,2016,39.1,55.5,58.8,39.4
NY-26,2016,38.0,57.6,63.9,34.3
NY-27,2016,59.7,35.2,42.9,55.3
OH-01,2016,51.2,44.6,46.3,52.4
OH-02,2016,55.8,39.7,43.7,54.7
OH-03,2016,28.6,67.0,69.7,28.9
OH-04,2016,64.3,30.7,42.0,56.0
OH-05,2016,59.7,34.6,44.1,53.9
OH-06,2016,69.3,26.7,42.7,55.2
OH-07,2016,62.5,32.8,44.2,53.7
OH-08,2016,65.1,30.6,36.4,61.9
OH-09,2016,36.5,58.7,67.6,30.9
OH-10,2016,51.3,44.0,48.2,50.1
OH-11,2016,17.0,80.5,82.7,16.5
OH-12,2016,53.2,41.9,43.9,54.4
OH-13,2016,44.6,51.1,62.9,35.4
OH-14,2016,53.6,42.1,47.6,50.9
OH-15,2016,55.3,39.9,46.3,51.9
OH-16,2016,56.2,39.5,45.2,53.4
OK-01,2016,61.4,32.7,34.2,65.8
OK-02,2016,72.9,22.8,32.2,67.8
OK-03,2016,73.6,20.9,26.1,73.9
OK-04,2016,65.7,28.3,32.9,67.1
OK-05,2016,53.2,39.8,40.8,59.2
OR-01,2016,34.5,57.3,57.3,40.0
OR-02,2016,56.5,36.4,40.5,56.8
OR-03,2016,22.5,70.7,72.0,24.7
OR-04,2016,46.0,46.1,51.7,45.0
OR-05,2016,44.1,48.3,50.5,47.1
PA-01,2016,47.1,49.1,50.2,48.6
PA-02,2016,24.9,72.9,77.4,21.8
